86	1	HASU4513857	4	OFFLOADED	2025-09-17	30850.12	3600.00	34450.12	2025-11-05 13:33:01.088518	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
28	1	MRSU5350097	1	OFFLOADED	2025-10-11	44239.25	2660.00	46899.25	2025-11-03 10:20:17.584509	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
58	1	MRSU3476764	4	OFFLOADED	2025-08-21	30085.12	3625.00	33710.12	2025-11-05 09:51:36.990025	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
33	1	TRHU7679124	3	OFFLOADED	2025-10-16	33980.85	2610.00	36590.85	2025-11-03 10:28:49.604869	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
29	1	MRSU3756636	9	OFFLOADED	2025-10-13	36845.75	5905.00	42750.75	2025-11-03 10:22:11.486578	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
31	1	CIPU5211868	1	OFFLOADED	2025-10-14	42400.00	2660.00	45060.00	2025-11-03 10:27:54.902564	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
42	1	MRSU3617184	5	OFFLOADED	2025-10-24	43176.40	2610.00	45786.40	2025-11-03 10:38:05.603348	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
83	1	MRKU3150461	9	OFFLOADED	2025-09-13	38605.00	5905.00	44510.00	2025-11-05 13:16:08.603426	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
236	9	MSKU1779821	2	OTW	2026-01-07	12636.00	3950.00	16586.00	2026-01-07 09:27:44.224526	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
239	9	TCLU5920524	2	OTW	2026-01-07	33708.04	2950.00	36658.04	2026-01-07 09:31:13.388594	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
242	10	HASU5001156	15	OTW	2026-01-08	44353.25	1545.34	45898.59	2026-01-08 09:08:38.213263	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
245	10	MRSU3999533	15	OTW	2026-01-06	43710.00	477.50	44187.50	2026-01-08 13:11:54.895345	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
124	1	TGBU6648059	2	OTW	2025-11-15	32482.12	2900.00	35382.12	2025-11-15 09:26:08.711073	\N	\N	\N	2025-12-24	manual	Hadi #2	8800.00	T199 DNR	LEFT DAR	\N	\N	NAHLI	8500.00	t	\N	CONTINENTAL
94	1	MRKU2530702	2	OFFLOADED	2025-09-23	31613.15	2600.00	34213.15	2025-11-05 13:37:04.995306	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
119	1	TIIU4889842	3	OTW	2025-11-13	34347.75	2540.00	36887.75	2025-11-14 06:01:30.286821	\N	\N	\N	2025-12-24	manual	Hadi #2	8800.00	T218 DEQ	MOROGORO	\N	\N	NAHLI	8500.00	t	\N	CONTINENTAL
95	1	MRKU3429380	1	OFFLOADED	2025-09-25	42190.00	2660.00	44850.00	2025-11-05 13:37:28.183438	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
122	1	CAAU5293298	1	OTW	2025-11-14	44324.00	2600.00	46924.00	2025-11-14 12:05:54.304644	\N	\N	\N	2025-12-24	manual	Hadi #4	8800.00	T923 DCG	MBALA	\N	\N	NCA	8500.00	t	\N	CONTINENTAL
153	1	TCKU7481090	5	OTW	2025-11-29	40320.50	3667.00	43987.50	2025-11-29 11:34:01.186226	\N	\N	\N	2026-01-08	manual	Hadi #1	8800.00	\N	\N	\N	\N	NCA	8500.00	t	\N	CONTINENTAL
127	1	TCKU7055958	9	OTW	2025-11-17	39422.75	5885.00	45307.75	2025-11-17 12:32:10.294229	\N	\N	\N	2025-12-24	manual	Hadi #2	9000.00	T708 DNU	IRINGA 	\N	\N	NAHLI	8500.00	t	\N	FARHAT
145	1	TCNU2888920	5	OTW	2025-11-27	40406.89	3667.00	44073.89	2025-11-27 13:16:41.296647	\N	\N	\N	2026-01-06	manual	Hadi #1	8800.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	CONTINENTAL
130	1	HASU4080280	5	OTW	2025-11-18	37220.30	2740.00	39960.30	2025-11-18 13:44:06.005705	\N	\N	\N	2025-12-29	manual	Hadi #1	8800.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	CONTINENTAL
131	1	MRSU3626015	1	OTW	2025-11-18	41816.00	2710.00	44526.00	2025-11-18 13:47:52.285003	\N	\N	\N	2025-12-29	manual	Hadi #4	8800.00	T225 DEQ	LEFT DAR	\N	\N	NCA	8500.00	t	\N	CONTINENTAL
156	1	MRKU2684647	9	OTW	2025-11-30	40417.25	7012.00	47429.25	2025-11-30 14:31:18.486424	\N	\N	\N	2026-01-11	manual	Hadi #2	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	FARHAT
166	1	MSKU1062933	5	OTW	2025-12-03	39874.35	3667.00	43541.35	2025-12-04 07:58:45.402394	\N	\N	\N	2026-01-11	manual	Hadi #1	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	TRH
168	1	MRKU2209518	5	OTW	2025-12-04	38428.35	3667.00	42095.35	2025-12-04 15:54:41.301454	\N	\N	\N	2026-01-11	manual	Hadi #1	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	TRH
140	1	SUDU8659267	2	OTW	2025-11-22	29485.09	3000.00	32485.09	2025-11-24 11:47:25.197823	\N	\N	\N	2026-01-02	manual	Hadi #2	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	TRH
100	1	TCKU6434406	2	OFFLOADED	2025-08-22	30849.13	2750.00	33599.13	2025-11-05 13:46:27.58111	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
134	1	MRSU6565823	5	OFFLOADED	2025-08-11	37430.05	2660.00	40090.05	2025-11-20 10:09:46.09357	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
169	1	MRKU4817266	2	OTW	2025-12-08	32232.09	3222.00	35454.09	2025-12-08 08:40:24.185232	\N	\N	\N	2026-01-11	manual	Hadi #2	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	FARHAT
99	1	TRHU5017031	9	OFFLOADED	2025-09-29	37320.50	5905.00	43225.50	2025-11-05 13:39:41.19007	\N	\N	\N	\N	manual	\N	\N	\N	\N	\N	\N	\N	\N	f	\N	\N
137	1	TIIU5533389	5	OTW	2025-11-21	39373.25	2740.00	42113.25	2025-11-21 15:49:31.011166	\N	\N	\N	2025-12-28	manual	Hadi #1	8800.00	\N	\N	\N	\N	NCA	8500.00	t	\N	CONTINENTAL
174	1	MRSU3572120	5	OTW	2025-12-10	40418.05	2567.00	42985.05	2025-12-10 13:52:35.699365	\N	\N	\N	2026-01-18	manual	Hadi #1	9000.00	\N	\N	\N	\N	NCA	8500.00	t	\N	FARHAT
141	1	TCKU7910560	9	OTW	2025-11-24	42864.25	5885.00	48749.25	2025-11-26 17:15:11.285713	\N	\N	\N	2026-01-05	manual	Hadi #2	9000.00	\N	\N	\N	\N	NAHLI	8500.00	t	\N	FARHAT
