1287	538	169	\N	\N	\N	5.00	0.00	Payment - Reduction	2025-11-18 14:14:11.885625	\N
2634	912	117	\N	\N	\N	0.00	12000.00	Payment - MUSTAFA DAKIK	2025-11-28 12:59:17.390129	\N
136	69	\N	\N	\N	10	0.00	39448.60	PO PO-36 - Container MRKU2634100	2025-11-05 09:43:25.987383	\N
138	70	\N	\N	\N	5	0.00	38116.50	PO PO-36 - Container MRSU3194755	2025-11-05 09:46:10.596241	\N
140	71	\N	\N	\N	4	0.00	30085.12	PO PO-36 - Container MRSU3476764	2025-11-05 09:51:37.003965	\N
1288	538	1	\N	\N	\N	0.00	5.00	Payment - Reduction	2025-11-18 14:14:12.361976	\N
81	42	133	\N	\N	\N	33980.85	0.00	PO PO-14 - Container TRHU7679124	2025-11-03 10:28:49.692567	\N
1305	546	202	\N	\N	\N	8500.00	0.00	Duties for container TRHU6470058	2025-11-19 06:47:13.814602	\N
150	76	\N	\N	\N	4	0.00	29769.01	PO PO-35 - Container TCKU6898984	2025-11-05 09:55:25.493506	\N
1306	546	43	\N	\N	\N	0.00	8500.00	Duties for container TRHU6470058	2025-11-19 06:47:13.816916	\N
1307	547	203	\N	\N	\N	2000.00	0.00	Office charges for container TRHU6470058	2025-11-19 06:47:13.821844	\N
154	78	\N	\N	\N	3	0.00	37891.00	PO PO-36 - Container TLLU4683690	2025-11-05 09:56:44.793145	\N
156	79	\N	\N	\N	3	0.00	36249.15	PO PO-36 - Container SUDU6925624	2025-11-05 09:57:21.203067	\N
1308	547	1	\N	\N	\N	0.00	2000.00	Office charges for container TRHU6470058	2025-11-19 06:47:13.823682	\N
1309	548	204	\N	\N	\N	8935.00	0.00	Transport fees for container TRHU6470058	2025-11-19 06:47:13.881149	\N
1310	548	26	\N	\N	\N	0.00	8935.00	Transport fees for container TRHU6470058	2025-11-19 06:47:13.88375	\N
83	43	133	\N	\N	\N	43341.46	0.00	PO PO-15 - Container MRKU4093176	2025-11-03 10:30:12.999401	\N
158	80	\N	\N	\N	1	0.00	40418.00	PO PO-36 - Container SUDU8901236	2025-11-05 09:57:59.909158	\N
7511	2316	381	\N	\N	\N	16180.00	0.00	PO PO-2024-002 - Container MRSU4777309	2026-01-07 09:28:34.987765	\N
160	81	\N	\N	\N	5	0.00	38765.60	PO PO-36 - Container TCNU2539933	2025-11-05 09:58:35.410007	\N
7512	2316	383	\N	\N	\N	0.00	16180.00	PO PO-2024-002 - Credit from MALI	2026-01-07 09:28:34.989249	\N
7513	2317	384	\N	\N	\N	16180.00	0.00	MALI PO PO-2024-002 - Container MRSU4777309	2026-01-07 09:28:34.992582	\N
7514	2317	\N	\N	\N	2	0.00	16180.00	MALI PO PO-2024-002 - Container MRSU4777309	2026-01-07 09:28:34.993552	\N
7829	2393	397	\N	\N	\N	315.00	0.00	POS Sale - SALES-1767873989183	2026-01-08 12:06:29.190745	\N
3934	1238	97	\N	\N	\N	43000.00	0.00	Payment - SHAMAS	2025-12-05 13:48:54.989757	\N
3935	1238	112	\N	\N	\N	0.00	43000.00	Payment - SHAMAS	2025-12-05 13:48:54.989757	\N
