1916	239	1658	6.000	88.36	530.16	2026-01-12 06:10:24.784102	135
1917	239	738	5.000	63.40	317.00	2026-01-12 06:10:24.784102	135
1918	239	1664	2.000	74.28	148.56	2026-01-12 06:10:24.784102	135
1919	239	739	2.000	138.23	276.46	2026-01-12 06:10:24.784102	135
1920	239	196	1.000	252.86	252.86	2026-01-12 06:10:24.784102	135
1921	239	227	7.000	67.69	473.83	2026-01-12 06:10:24.784102	135
46	19	209	15.000	49.89	748.35	2025-11-11 10:49:48.109538	\N
47	20	209	40.000	49.89	1995.60	2025-11-12 08:54:11.85625	\N
1922	239	229	3.000	182.94	548.82	2026-01-12 06:10:24.784102	135
1923	239	234	3.000	51.76	155.28	2026-01-12 06:10:24.784102	135
50	22	90	41.000	69.43	2846.63	2025-11-12 09:53:23.293113	\N
51	23	514	25.000	240.74	6018.50	2025-11-12 09:55:01.312681	\N
52	23	85	20.000	74.91	1498.20	2025-11-12 09:55:01.312681	\N
53	23	125	20.000	52.20	1044.00	2025-11-12 09:55:01.312681	\N
54	23	109	20.000	83.70	1674.00	2025-11-12 09:55:01.312681	\N
55	23	113	20.000	69.65	1393.00	2025-11-12 09:55:01.312681	\N
56	24	291	10.000	40.95	409.50	2025-11-12 11:49:37.926756	\N
57	25	531	75.000	50.64	3798.00	2025-11-13 08:31:43.583205	\N
58	26	583	2.000	78.66	157.32	2025-11-13 08:46:13.149985	\N
59	27	524	70.000	66.24	4636.80	2025-11-13 08:46:37.803381	\N
60	28	548	10.000	90.66	906.60	2025-11-13 08:51:51.167183	\N
61	28	568	15.000	54.11	811.65	2025-11-13 08:51:51.167183	\N
62	28	370	7.000	60.40	422.80	2025-11-13 08:51:51.167183	\N
63	28	610	1.000	111.87	111.87	2025-11-13 08:51:51.167183	\N
64	28	611	3.000	89.19	267.57	2025-11-13 08:51:51.167183	\N
65	28	625	1.000	231.66	231.66	2025-11-13 08:51:51.167183	\N
66	28	547	5.000	189.19	945.95	2025-11-13 08:51:51.167183	\N
67	28	552	2.000	156.66	313.32	2025-11-13 08:51:51.167183	\N
68	28	571	2.000	79.45	158.90	2025-11-13 08:51:51.167183	\N
69	28	573	2.000	79.30	158.60	2025-11-13 08:51:51.167183	\N
70	28	635	1.000	44.33	44.33	2025-11-13 08:51:51.167183	\N
71	29	487	2.000	254.12	508.24	2025-11-13 08:52:50.404456	\N
72	30	516	5.000	48.35	241.75	2025-11-13 11:07:10.231486	\N
73	31	420	10.000	89.46	894.60	2025-11-13 11:22:54.408383	\N
74	31	419	10.000	54.10	541.00	2025-11-13 11:22:54.408383	\N
75	31	418	10.000	44.45	444.50	2025-11-13 11:22:54.408383	\N
76	31	423	7.000	68.79	481.53	2025-11-13 11:22:54.408383	\N
77	31	422	9.000	48.60	437.40	2025-11-13 11:22:54.408383	\N
78	31	426	8.000	88.91	711.28	2025-11-13 11:22:54.408383	\N
79	31	432	2.000	85.37	170.74	2025-11-13 11:22:54.408383	\N
80	31	442	27.000	44.57	1203.39	2025-11-13 11:22:54.408383	\N
81	31	441	39.000	63.51	2476.89	2025-11-13 11:22:54.408383	\N
82	31	448	12.000	49.55	594.60	2025-11-13 11:22:54.408383	\N
83	31	417	60.000	82.35	4941.00	2025-11-13 11:22:54.408383	\N
84	31	337	160.000	48.49	7758.40	2025-11-13 11:22:54.408383	\N
85	32	531	75.000	50.39	3779.25	2025-11-13 11:26:51.853742	\N
86	32	125	30.000	52.20	1566.00	2025-11-13 11:26:51.853742	\N
87	32	52	8.000	60.52	484.16	2025-11-13 11:26:51.853742	\N
88	32	85	9.000	74.91	674.19	2025-11-13 11:26:51.853742	\N
89	32	91	10.000	56.03	560.30	2025-11-13 11:26:51.853742	\N
90	32	102	5.000	99.87	499.35	2025-11-13 11:26:51.853742	\N
91	32	107	6.000	74.90	449.40	2025-11-13 11:26:51.853742	\N
92	32	130	5.000	84.70	423.50	2025-11-13 11:26:51.853742	\N
93	32	114	5.000	101.83	509.15	2025-11-13 11:26:51.853742	\N
94	32	1547	3.000	79.90	239.70	2025-11-13 11:26:51.853742	\N
95	32	139	10.000	116.28	1162.80	2025-11-13 11:26:51.853742	\N
96	32	337	104.000	48.49	5042.96	2025-11-13 11:26:51.853742	\N
97	33	487	2.000	254.12	508.24	2025-11-13 11:28:47.792419	\N
98	34	627	23.000	149.41	3436.43	2025-11-13 13:24:11.895199	\N
99	34	1477	6.000	249.41	1496.46	2025-11-13 13:24:11.895199	\N
100	35	209	30.000	49.89	1496.70	2025-11-13 13:25:28.711081	\N
101	35	2284	1.000	0.10	0.10	2025-11-13 13:25:28.711081	\N
102	35	126	5.000	134.53	672.65	2025-11-13 13:25:28.711081	\N
103	36	487	2.000	254.12	508.24	2025-11-14 06:00:16.617759	\N
104	37	83	30.000	149.92	4497.60	2025-11-14 08:28:47.744912	\N
105	38	126	6.000	134.53	807.18	2025-11-14 11:15:47.502282	\N
106	39	209	5.000	49.89	249.45	2025-11-14 11:43:39.884497	\N
107	39	627	2.000	149.41	298.82	2025-11-14 11:43:39.884497	\N
108	39	1477	2.000	249.41	498.82	2025-11-14 11:43:39.884497	\N
109	39	570	1.000	299.41	299.41	2025-11-14 11:43:39.884497	\N
110	40	627	9.000	149.41	1344.69	2025-11-14 11:44:14.515761	\N
111	41	93	250.000	151.61	37902.50	2025-11-14 12:58:47.50662	\N
112	41	104	90.000	167.85	15106.50	2025-11-14 12:58:47.50662	\N
115	43	627	4.000	149.41	597.64	2025-11-15 08:40:47.461644	\N
116	44	1477	15.000	249.41	3741.15	2025-11-15 10:00:09.895981	\N
117	44	557	5.000	69.61	348.05	2025-11-15 10:00:09.895981	\N
118	44	578	3.000	224.41	673.23	2025-11-15 10:00:09.895981	\N
119	44	1508	3.000	149.32	447.96	2025-11-15 10:00:09.895981	\N
120	44	1507	3.000	95.12	285.36	2025-11-15 10:00:09.895981	\N
121	44	579	5.000	277.88	1389.40	2025-11-15 10:00:09.895981	\N
122	44	588	5.000	274.41	1372.05	2025-11-15 10:00:09.895981	\N
123	44	345	4.000	85.06	340.24	2025-11-15 10:00:09.895981	\N
124	44	371	5.000	98.89	494.45	2025-11-15 10:00:09.895981	\N
125	44	153	6.000	324.41	1946.46	2025-11-15 10:00:09.895981	\N
126	44	514	5.000	239.88	1199.40	2025-11-15 10:00:09.895981	\N
127	44	611	2.000	89.45	178.90	2025-11-15 10:00:09.895981	\N
